probe: using server at http://127.0.0.1:8794 (spawned)
PASS  inventory loads (67 apertures)
PASS  aperture ids unique
PASS  every aperture has a POI
PASS  traversable doors to walk (18)
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.02 gain=60.0 shuffles=9
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.01 gain=60.0 shuffles=11
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.01 gain=60.0 shuffles=11
  [trace] d=17m dLast=17m yaw=-122.30 err=0.07 gain=60.0 shuffles=12
  [trace] d=17m dLast=17m yaw=-122.29 err=0.00 gain=60.0 shuffles=12
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.02 gain=60.0 shuffles=13
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.02 gain=60.0 shuffles=13
  [trace] d=22m dLast=22m yaw=-121.15 err=0.11 gain=60.0 shuffles=0
  [trace] d=22m dLast=22m yaw=-121.07 err=0.01 gain=60.0 shuffles=2
  [trace] d=22m dLast=22m yaw=-121.13 err=0.00 gain=60.0 shuffles=3
  [trace] d=22m dLast=22m yaw=-121.11 err=0.04 gain=60.0 shuffles=3
  [trace] d=22m dLast=22m yaw=-121.09 err=0.04 gain=60.0 shuffles=4
  [trace] d=22m dLast=22m yaw=-121.08 err=0.03 gain=60.0 shuffles=4
  [trace] d=24m dLast=22m yaw=-121.08 err=-0.08 gain=60.0 shuffles=5
  [trace] d=22m dLast=22m yaw=-121.12 err=-0.02 gain=60.0 shuffles=5
  [trace] d=22m dLast=22m yaw=-121.08 err=0.03 gain=60.0 shuffles=6
  [trace] d=22m dLast=22m yaw=-121.12 err=0.01 gain=60.0 shuffles=7
  [trace] d=22m dLast=22m yaw=-121.11 err=0.03 gain=60.0 shuffles=7
  [trace] d=22m dLast=22m yaw=-121.08 err=0.03 gain=60.0 shuffles=8
  [trace] d=22m dLast=22m yaw=-121.08 err=0.02 gain=60.0 shuffles=8
  [trace] d=22m dLast=22m yaw=-121.11 err=0.02 gain=60.0 shuffles=9
  [trace] d=22m dLast=22m yaw=-121.07 err=0.01 gain=60.0 shuffles=10
  [trace] d=24m dLast=22m yaw=-121.08 err=-0.09 gain=60.0 shuffles=11
  [trace] d=22m dLast=22m yaw=-121.12 err=0.00 gain=60.0 shuffles=11
  [trace] d=22m dLast=22m yaw=-121.12 err=0.02 gain=60.0 shuffles=11
  [trace] d=22m dLast=22m yaw=-121.07 err=0.01 gain=60.0 shuffles=12
  [trace] d=22m dLast=22m yaw=-121.12 err=-0.02 gain=60.0 shuffles=13
  [trace] d=22m dLast=22m yaw=-121.12 err=0.02 gain=60.0 shuffles=13
  [trace] d=22m dLast=22m yaw=-121.07 err=0.01 gain=60.0 shuffles=14
  [trace] d=22m dLast=22m yaw=-122.56 err=-0.16 gain=60.0 shuffles=0
  [trace] d=22m dLast=22m yaw=-122.64 err=0.02 gain=60.0 shuffles=1
